id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
33237197,"160 sq. ft., LEIGHTON RD. STUDIO, CWB , HK",156409670,Tushita,,Wan Chai,22.27698,114.1878,Entire home/apt,510,25,0,,,87,364,0,
33254311,3min High Speed Rail 高速鐵路 Renovated 1000sf 2BR 2BA,249542788,Kitty,,Yau Tsim Mong,22.30719,114.16669,Entire home/apt,,2,31,2020-12-28,0.39,1,5,0,
33256557,Room available in Causeway bay (c11b),67709885,Steven,,Wan Chai,22.27803,114.18399,Private room,160,30,0,,,281,364,0,
33260454,Ensuite Yaumatei room for 2 with Own Bathroom y13d,7518056,Jovee,,Yau Tsim Mong,22.31437,114.17115,Private room,230,29,0,,,215,363,0,
33265116,Studio for 2 near HKU MTR -- bunkbed +Lift (st4b),97240131,Jov,,Central & Western,22.28585,114.13298,Entire home/apt,248,29,0,,,290,363,0,
33268620,"Green and tranquil, a house that breathes",250519267,Ruah,,North,22.47777,114.11103,Entire home/apt,6326,14,1,2023-01-08,0.03,1,357,0,
33297571,Room Available in Mid Level (Prince Terrace) ML7c,7518056,Jovee,,Central & Western,22.28012,114.15241,Private room,160,29,0,,,215,363,0,
33297776,Small room in Causeway Bay -shareflat  ( c20b,97240131,Jov,,Wan Chai,22.27907,114.17819,Private room,160,29,0,,,290,363,0,
33298514,Tai Kok Tsui room for 1.   Walk to HSBC  ...(tk6b,97240131,Jov,,Yau Tsim Mong,22.32055,114.16108,Private room,160,29,0,,,290,363,0,
33315424,Sham Sui Po room for 2 with lift shareflat  (SP4B),7518056,Jovee,,Sham Shui Po,22.32557,114.16051,Private room,160,29,1,2019-05-15,0.01,215,363,0,
33317881,Causeway Bay Big room for 2 walkup ...... (c10b),97240131,Jov,,Wan Chai,22.27858,114.18281,Private room,183,29,0,,,290,363,0,
33318067,Causeway Bay BIG room near times square ! (c10d),97240131,Jov,,Wan Chai,22.27782,114.18505,Private room,160,29,0,,,290,363,0,
33321652,[5] Triple Room in Kowloon,162186374,Wai Yan,,Yau Tsim Mong,22.30475,114.17135,Private room,276,1,104,2025-09-08,1.35,27,289,12,
33327348,"COMPACT STUDIO NEAR TO MTR,  SHEUNG WAN",138649185,Sidharth,,Central & Western,22.2851,114.15064,Entire home/apt,499,28,0,,,135,364,0,
33327595,Compact yet Comfortable Studio on Queen's Road,138649185,Sidharth,,Central & Western,22.28596,114.14696,Entire home/apt,570,30,0,,,135,364,0,
33330238,Flat Share room in Prince Edward(Pe4c),67709885,Steven,,Yau Tsim Mong,22.32413,114.1686,Private room,,31,0,,,281,364,0,
33351681,"Fuk Lo Tsun Road Private Room, New Reno *1B",14861546,Tane Residence,,Kowloon City,22.32747,114.18821,Private room,394,30,2,2022-07-22,0.04,124,180,0,
33381750,Tsim Sha Tsui STUDIO --for 2 --walk to Malls (T6e),7518056,Jovee,,Yau Tsim Mong,22.29953,114.17625,Entire home/apt,217,29,0,,,215,364,0,
33390164,BEST LOCATION* 3Room 2Bath * 2min CAUSEWAY BAY MTR,96179399,Tom,,Wan Chai,22.27872,114.18121,Entire home/apt,1278,3,106,2025-09-01,1.35,1,164,36,
33434321,"170 sq ft STUDIO ON SAI YING PUN, HONG KONG",156409670,Tushita,,Central & Western,22.28409,114.14366,Entire home/apt,501,26,0,,,87,364,0,
33435418,佐敦 小型单人房/尖沙咀维多利亚港/海港城/星光大道/天星码头/会展中心/理工大学,116364906,Kiki,,Yau Tsim Mong,22.30691,114.17232,Private room,,1,5,2024-03-15,0.06,15,235,0,
33436353,170 sq ft. STUDIO ON SAI YING PUN,138649185,Sidharth,,Central & Western,22.28626,114.14042,Entire home/apt,550,27,0,,,135,364,0,
33436369,位於彌敦道上，樓下機場巴士，1分鐘直達油麻地地鐵站，去那裏都非常方便。,12419712,Tweety,,Yau Tsim Mong,22.31311,114.17151,Entire home/apt,3000,3,8,2019-08-11,0.10,1,364,0,
33437684,Tsim Sha Tsui Room - walkup near Mall (t6d),97240131,Jov,,Yau Tsim Mong,22.29968,114.17462,Private room,160,29,0,,,290,363,0,
33439056,Causeway Bay Room for 2 with lift ! shareflat(c20c,97240131,Jov,,Wan Chai,22.27915,114.17859,Private room,160,29,0,,,290,363,0,
33461862,"STROLL TO CWB MTR, LEE GARDEN STUDIO",138649185,Sidharth,,Wan Chai,22.27743,114.18511,Entire home/apt,700,28,0,,,135,364,0,
33502033,(WF11) 兩房大廳，鄰近科學館，2024全新裝修,240790745,Samson,,Yau Tsim Mong,22.30168,114.17487,Entire home/apt,965,28,65,2025-09-01,0.83,15,179,37,
33541915,"160 SQ FT STUDIO ON ELGIN STREET, SOHO, HK",138649185,Sidharth,,Central & Western,22.28119,114.152,Entire home/apt,530,28,0,,,135,364,0,
33542837,"160 SQ FT STUDIO ON ELGIN STREET, SOHO, HK",156409670,Tushita,,Central & Western,22.28098,114.15345,Entire home/apt,515,27,0,,,87,364,0,
33568137,佐敦高性價比青旅 一分鐘到達地鐵站 特色璧畫房間用品一應俱全-大床房,252943866,Sammy,,Yau Tsim Mong,22.30585,114.17004,Hotel room,448,3,25,2023-05-03,0.32,1,364,0,
33569304,"Room in Yaumatei, for 2 , 5/walkupapt.  (y8e)",7518056,Jovee,,Yau Tsim Mong,22.31408,114.17195,Private room,200,29,1,2022-10-31,0.03,215,364,0,
33569305,"WIDE 250 SQ FT STUDIO IN HAIPHONG RD, TST",138649185,Sidharth,,Yau Tsim Mong,22.29892,114.17217,Entire home/apt,840,27,0,,,135,364,0,
33570517,"250 SQ FT WIDE STUDIO IN HAIPHONG RD, TST.",156409670,Tushita,,Yau Tsim Mong,22.29849,114.17203,Entire home/apt,715,28,0,,,87,364,0,
33571944,"180sq.ft. STUDIO SPACE IN CWB, HONG KONG.",156409670,Tushita,,Wan Chai,22.25991,114.19083,Entire home/apt,659,28,0,,,87,363,0,
33592006,Cozy studio in the heart of Soho and Central,28970362,Héctor,,Central & Western,22.28518,114.15376,Entire home/apt,,4,22,2025-01-06,0.28,1,0,1,
33599500,"210 sq ft STUDIO WITH ELEVATOR, PEKING ROAD, TST",156409670,Tushita,,Kowloon City,22.31753,114.17914,Entire home/apt,625,27,0,,,87,363,0,
33601809,"210 sq ft STUDIO WITH ELEVATOR, PEKING ROAD",138649185,Sidharth,,Yau Tsim Mong,22.29706,114.17233,Entire home/apt,750,30,0,,,135,363,0,
33602670,250 SQ FT MASSIVE STUDIO (with Elevator) PEKING RD,156409670,Tushita,,Kowloon City,22.31787,114.18027,Entire home/apt,800,27,0,,,87,363,0,
33602986,250 SQ FT VAST STUDIO (with Elevator) PEKING RD,138649185,Sidharth,,Kowloon City,22.3176,114.18009,Entire home/apt,800,28,0,,,135,363,0,
33603606,"C4-1.2m（3,94 ft）Double bed Room with window",37289493,Ken,,Yau Tsim Mong,22.31689,114.16975,Private room,390,2,89,2025-09-12,1.18,28,203,29,
33603681,"140 sq.ft., STUDIO SPACE ON ELGIN STRT, HK",156409670,Tushita,,Wan Chai,22.25769,114.19173,Entire home/apt,575,28,0,,,87,363,0,
33621534,旺角地鉄一分鈡-豪華雙人大床套房 獨立衛浴,50172398,Gloria,,Yau Tsim Mong,22.3169,114.17028,Private room,295,7,3,2025-07-20,0.04,27,64,1,
33625677,"North Point Mid-Levels, Hong Kong 豪宅区 北角半山云景道",130361664,Philip,,Eastern,22.28675,114.19804,Private room,,28,9,2025-09-21,0.28,2,26,5,
33666696,3BR Colonial Villa near TST Avenue of Star,253747078,Carmon,,Yau Tsim Mong,22.30071,114.17425,Entire home/apt,849,28,180,2025-08-25,2.29,1,275,8,
33669941,"Best in the city! Cozy 3 BDRM, Mins to MTR station",253771064,Amanda,,Yau Tsim Mong,22.30625,114.16625,Entire home/apt,1594,2,53,2025-08-30,0.68,6,142,9,
33702846,"WITH NATURAL LIGHTS, PERCIVAL STREET STUDIO",138649185,Sidharth,,Wan Chai,22.28035,114.18153,Entire home/apt,734,28,0,,,135,364,0,
33707278,Causeway Bay SMALL Room - for 1 w/lift  (c20a),7518056,Jovee,,Wan Chai,22.25936,114.19224,Private room,183,29,1,2019-08-22,0.01,215,363,0,
33734331,Very Comfortable TinHau Room available  (TH1c),7518056,Jovee,,Wan Chai,22.25786,114.19039,Private room,160,29,0,,,215,363,0,
33734772,Causeway Bay Room for 1 person with lift ( c20b),7518056,Jovee,,Wan Chai,22.27889,114.18002,Private room,160,29,0,,,215,363,0,
33736236,Central  room for 1 person   (ML3c),7518056,Jovee,,Central & Western,22.2808,114.15218,Private room,160,29,0,,,215,363,0,
33754166,Cozy Studio In the Heart of Central  *3A,14861546,Tane Residence,,Central & Western,22.28626,114.1533,Entire home/apt,594,15,3,2025-06-22,0.13,124,199,2,
33754629,Cozy Studio In the Heart of Central  *3B,14861546,Tane Residence,,Central & Western,22.28594,114.15544,Entire home/apt,641,15,1,2025-05-01,0.20,124,365,1,
33754635,Cozy One-Bedroom Unit In the Heart of Central *2A,14861546,Tane Residence,,Central & Western,22.28476,114.15338,Entire home/apt,738,30,1,2020-01-12,0.01,124,365,0,
33755086,Cozy One-Bedroom Unit In the Heart of Central *1B,14861546,Tane Residence,,Central & Western,22.28424,114.15373,Entire home/apt,,20,2,2024-12-24,0.04,124,321,1,
33755154,Cozy Studio In the Heart of Central  *4A,14861546,Tane Residence,,Central & Western,22.28502,114.15554,Entire home/apt,627,15,7,2025-08-02,0.16,124,320,2,
33757258,Mong Kok Luxury Studio *2B,14861546,Tane Residence,,Yau Tsim Mong,22.31894,114.17124,Entire home/apt,475,15,1,2024-05-13,0.06,124,341,0,
33757278,Cozy Studio In the Heart of Central  *5B,14861546,Tane Residence,,Central & Western,22.28575,114.1535,Entire home/apt,690,14,0,,,124,365,0,
33759771,Sham shui Po room for 2 ppl with Lift (Sp4a),7518056,Jovee,,Kowloon City,22.31971,114.18042,Private room,180,29,0,,,215,364,0,
33761708,"240sq.ftStudio@TUNG Strt, SHEUNG WAN",156409670,Tushita,,Central & Western,22.28389,114.1483,Entire home/apt,517,28,0,,,87,364,0,
33762345,"CENTRIC PO HING FONG RD STUDIO, SHEUNG WAN",156409670,Tushita,,Central & Western,22.28312,114.14709,Entire home/apt,615,28,0,,,87,364,0,
33762675,"STUDIO ON 1st FLOOR, TUNG STREET, SHEUNG WAN.",138649185,Sidharth,,Central & Western,22.28439,114.14989,Entire home/apt,,28,0,,,135,364,0,
33764947,"Tsim Sha Tsui Room For 2ppl, 2/walk up (T6C)",7518056,Jovee,,Yau Tsim Mong,22.30132,114.17604,Private room,170,29,0,,,215,363,0,
33765278,Wanchai Room for 1 person.with Lift  (MH2B),7518056,Jovee,,Wan Chai,22.27906,114.18054,Private room,160,29,0,,,215,364,0,
33795514,North Point Room Available. 3/F Walk Up (N3c),7518056,Jovee,,Eastern,22.29006,114.19999,Private room,160,29,0,,,215,363,0,
33796432,ROOM for1 person ! Mongkok  this is with LIFT MK1e,7518056,Jovee,,Yau Tsim Mong,22.3204,114.17067,Private room,160,29,0,,,215,363,0,
33797640,"Room Yau Ma Tei for 2person, 5/walkup bldg (Y8D)",7518056,Jovee,,Yau Tsim Mong,22.31222,114.17172,Private room,160,29,0,,,215,363,0,
33813653,Room in Central for 2person !! 3/walk up !! (ML3H),7518056,Jovee,,Central & Western,22.28236,114.15257,Private room,160,29,0,,,215,363,0,
33815954,(WF1) 尖沙咀，鄰近香港科學館，7分鐘到達港鐵站，擁有3間獨立房間，適合家庭出遊，配備智能電視。,240790745,Samson,,Yau Tsim Mong,22.30074,114.17703,Entire home/apt,843,6,115,2025-09-01,1.48,15,222,40,
33818880,Wanchai Room for 2 person with Lift !!! (MH2d ),7518056,Jovee,,Wan Chai,22.27714,114.18023,Private room,160,29,0,,,215,363,0,
33823278,Tsim sha Tsui room for 2ppl with LIFT( T5a),7518056,Jovee,,Yau Tsim Mong,22.29935,114.17525,Entire home/apt,170,29,0,,,215,364,0,
33886495,Causeway Bay  near Times Square !for 2 w/lift(c5c),7518056,Jovee,,Wan Chai,22.25761,114.19194,Private room,160,29,1,2024-08-27,0.08,215,363,0,
33923167,COMPACT STUDIO AT BONHAM STREET,138649185,Sidharth,,Wan Chai,22.25792,114.19216,Entire home/apt,400,28,0,,,135,363,0,
33923889,TINY STUDIO ON BONHAM STREET.,156409670,Tushita,,Wan Chai,22.25902,114.19207,Entire home/apt,459,30,0,,,87,363,0,
33973399,Room  in Sai Ying Pun shared  apartment  (S4e),97240131,Jov,,Central & Western,22.28448,114.14294,Private room,200,29,0,,,290,363,0,
34006673,(KW7) 佐敦，著名街道廟街旁，距港鐵2分鐘，兩房大廳，獨立廚廁,240790745,Samson,,Yau Tsim Mong,22.3059,114.1689,Entire home/apt,950,28,140,2025-08-31,1.80,15,173,45,
34006961,5mins to MTR Luxury King bed roomTST Kowloon 尖東海傍,250074211,Fresa,,Yau Tsim Mong,22.29573,114.1735,Private room,1400,1,0,,,1,363,0,
34098981,"2房一廳,優雅裝飾,可住4-5人,位於旺角市區,7分鐘旺角地鐵站,三分鐘到朗豪坊",187838016,Youga,,Yau Tsim Mong,22.31885,114.16755,Entire home/apt,1400,30,20,2019-10-17,0.26,2,180,0,
34102313,"Stylish and bright, well equipped 2 bedroom",29199934,Sarita,,Wan Chai,22.27477,114.17549,Entire home/apt,2300,20,0,,,1,83,0,
34108576,Fortress Hill Nice Room In Share flat(F3c),7518056,Jovee,,Eastern,22.29057,114.19352,Private room,,29,0,,,215,365,0,
34109755,10秒到地鐵站! 性價比高雙人間 Next to MTR! Comfy & clean room,257550721,Mina,,Yau Tsim Mong,22.32481,114.16851,Private room,217,1,34,2025-09-07,0.44,5,71,28,
34139969,Central Room ..... near Central Escalator  (ML13C),7518056,Jovee,,Central & Western,22.28378,114.15422,Private room,,29,0,,,215,364,0,
